,,deva.A,deva.I,deva.U,deva.E,deva.Ka,deva.Kha,deva.Ga,deva.Gha,deva.Nga,deva.Ca,deva.Cha,deva.Ja,deva.Jha,deva.Nya,deva.Tta,deva.Ttha,deva.Dda,deva.Ddha,deva.Nna,deva.Ta,deva.Tha,deva.Da,deva.Dha,deva.Na,deva.Pa,deva.Pha,deva.Ba,deva.Bha,deva.Ma,deva.Ya,deva.Ra,deva.La,deva.Va,deva.Sha,deva.Ssa,deva.Sa,deva.Ha
,,अ,इ,उ,ए,क,ख,ग,घ,ङ,च,छ,ज,झ,ञ,ट,ठ,ड,ढ,ण,त,थ,द,ध,न,प,फ,ब,भ,म,य,र,ल,व,श,ष,स,ह
deva.A,अ,,,,,,0.24,,0.35,,,,,,,,,,,,0.18,,,,,,,0.15,,,,0.21,,,,0.14,0.36,
deva.I,इ,,,,,,,0.08,,,,,,,,,,0.86,,,,,,,0.1,0.11,,0.2,,,,,,,,,0.17,0.75
deva.U,उ,,,,,,,,0.35,0.34,0.12,0.39,,,,0.26,0.17,0.53,,,,,0.19,0.36,,,,,,,,,0.62,,,,,0.31
deva.E,ए,,,,,0.15,,,,,,,0.14,,,,,,0.18,,,,,,0.15,,,,0.17,0.27,,,,,0.21,,,
deva.Ka,क,,,,0.15,,,0.12,,,,,0.55,,,,,,0.49,0.19,,0.25,,,0.32,0.2,0.7,,0.25,0.29,0.23,,0.55,,0.32,,,
deva.Kha,ख,0.24,,,,,,,0.28,,,,,,,,,,,,0.24,,,,,,,0.29,,,,0.51,,,,0.18,0.66,
deva.Ga,ग,,0.08,,,0.12,,,,,,,,,,,,0.09,,0.47,,0.16,,,0.8,0.48,0.14,0.21,,,0.28,,0.11,,,,0.51,0.08
deva.Gha,घ,0.35,,0.35,,,0.28,,,,0.47,0.57,,,,0.14,,0.2,,,0.32,,,0.77,,,,0.4,,,,0.22,,,,0.48,0.32,0.25
deva.Nga,ङ,,,0.34,,,,,,,,0.24,,,,0.33,0.22,,,,,,0.33,0.17,,,,,,,,,0.22,,,,,
deva.Ca,च,,,0.12,,,,,0.47,,,0.17,,0.31,0.69,0.22,0.43,0.23,,,,,,0.29,,,,,0.33,0.3,,0.21,,0.73,,,,0.2
deva.Cha,छ,,,0.39,,,,,0.57,0.24,0.17,,,,,0.13,0.17,0.19,,,,,0.21,0.64,,,,,,,,,0.47,,,,,0.3
deva.Ja,ज,,,,0.14,0.55,,,,,,,,,,,,,0.33,,,,,,0.62,,,,0.41,0.43,,,,,0.26,,,
deva.Jha,झ,,,,,,,,,,0.31,,,,0.39,,0.15,,,,,,,,,,,,0.39,0.39,,0.12,,0.16,,,,
deva.Nya,ञ,,,,,,,,,,0.69,,,0.39,,,0.31,,,,,,,,,,,,0.23,0.21,,0.13,,0.54,,,,
deva.Tta,ट,,,0.26,,,,,0.14,0.33,0.22,0.13,,,,,0.78,0.65,,,,,0.78,0.18,,,,,,,,,0.24,,,,,0.47
deva.Ttha,ठ,,,0.17,,,,,,0.22,0.43,0.17,,0.15,0.31,0.78,,,,,,,0.58,0.12,,,,,0.17,0.18,,0.25,0.15,0.63,,,,
deva.Dda,ड,,0.86,0.53,,,,0.09,0.2,,0.23,0.19,,,,0.65,,,,,,,,0.18,0.11,0.18,,0.23,,,,,,,,,0.16,0.71
deva.Ddha,ढ,,,,0.18,0.49,,,,,,,0.33,,,,,,,0.1,0.4,0.27,0.83,,0.22,,,,0.21,0.16,0.18,,,,0.2,0.11,,
deva.Nna,ण,,,,,0.19,,0.47,,,,,,,,,,,0.1,,0.22,0.2,0.07,,,0.61,0.38,,,,0.32,,0.17,,0.44,0.69,,
deva.Ta,त,0.18,,,,,0.24,,0.32,,,,,,,,,,0.4,0.22,,0.35,0.53,,,,,0.34,,,0.41,0.5,,,0.14,0.32,0.42,
deva.Tha,थ,,,,,0.25,,0.16,,,,,,,,,,,0.27,0.2,0.35,,0.29,,,0.33,0.26,,,,0.74,,0.24,,0.47,0.34,,
deva.Da,द,,,0.19,,,,,,0.33,,0.21,,,,0.78,0.58,,0.83,0.07,0.53,0.29,,0.24,,,,,,,0.24,,0.27,,0.14,0.1,,
deva.Dha,ध,,,0.36,,,,,0.77,0.17,0.29,0.64,,,,0.18,0.12,0.18,,,,,0.24,,,,,,,,,,0.46,,,,,0.19
deva.Na,न,,0.1,,0.15,0.32,,0.8,,,,,0.62,,,,,0.11,0.22,,,,,,,0.55,,0.28,0.55,0.76,,,,,0.2,,0.43,0.11
deva.Pa,प,,0.11,,,0.2,,0.48,,,,,,,,,,0.18,,0.61,,0.33,,,0.55,,0.61,0.52,,,0.65,,0.21,,,,0.53,0.13
deva.Pha,फ,,,,,0.7,,0.14,,,,,,,,,,,,0.38,,0.26,,,,0.61,,,,,0.37,,0.33,,,,,
deva.Ba,ब,0.15,0.2,,,,0.29,0.21,0.4,,,,,,,,,0.23,,,0.34,,,,0.28,0.52,,,,,,0.16,,,,0.83,0.25,0.21
deva.Bha,भ,,,,0.17,0.25,,,,,0.33,,0.41,0.39,0.23,,0.17,,0.21,,,,,,0.55,,,,,0.81,,0.28,,0.2,0.46,,,
deva.Ma,म,,,,0.27,0.29,,,,,0.3,,0.43,0.39,0.21,,0.18,,0.16,,,,,,0.76,,,,0.81,,,0.26,,0.24,0.22,,,
deva.Ya,य,,,,,0.23,,0.28,,,,,,,,,,,0.18,0.32,0.41,0.74,0.24,,,0.65,0.37,,,,,,0.23,,0.35,0.54,,
deva.Ra,र,0.21,,,,,0.51,,0.22,,0.21,,,0.12,0.13,,0.25,,,,0.5,,,,,,,0.16,0.28,0.26,,,,0.25,,0.15,0.55,
deva.La,ल,,,0.62,,0.55,,0.11,,0.22,,0.47,,,,0.24,0.15,,,0.17,,0.24,0.27,0.46,,0.21,0.33,,,,0.23,,,,,,,
deva.Va,व,,,,,,,,,,0.73,,,0.16,0.54,,0.63,,,,,,,,,,,,0.2,0.24,,0.25,,,,,,
deva.Sha,श,,,,0.21,0.32,,,,,,,0.26,,,,,,0.2,0.44,0.14,0.47,0.14,,0.2,,,,0.46,0.22,0.35,,,,,0.33,,
deva.Ssa,ष,0.14,,,,,0.18,,0.48,,,,,,,,,,0.11,0.69,0.32,0.34,0.1,,,,,0.83,,,0.54,0.15,,,0.33,,0.31,
deva.Sa,स,0.36,0.17,,,,0.66,0.51,0.32,,,,,,,,,0.16,,,0.42,,,,0.43,0.53,,0.25,,,,0.55,,,,0.31,,0.23
deva.Ha,ह,,0.75,0.31,,,,0.08,0.25,,0.2,0.3,,,,0.47,,0.71,,,,,,0.19,0.11,0.13,,0.21,,,,,,,,,0.23,
